       1                   2              3              4              5               6             7           8        9             10             11          12         13         14         15             16            17            18            19        20        21              22              23              24          25           26             27          28
 IRIS_ID              CMT_ID           EVLA           EVLO           EVDP     ORIGIN_DATE   ORIGIN_TIME     MAG_VAL MAG_TYPE           STLA           STLO        STDP       BATH      KSTNM      PHASE       RAYPARAM         GCARC            AZ           BAZ  FC_LOWER  FC_UPPER         SNR_ALL        SNR_PASS        SNR_STOP          CC       TSHIFT     TSHIFT_REL  CORRECTION
                                      (deg)          (deg)           (km)    (YYYY-MM-DD)    (HH:MM:SS)                               (deg)          (deg)         (m)        (m)                              (s/rad)         (deg)         (deg)         (deg)      (Hz)      (Hz)                                                                      (s)                           
10932551      B201808080142A       -15.4500      -176.6430       361.8200      2018-08-08      01:42:10      5.2706       Mw       -12.0744      -171.9965        1531       4784      P0008          p       638.5346        5.6350       53.7776      232.6712      0.50      2.00         10.0000        779.4790          1.0000      0.4793         3.30         0.0379       -1.14
10934109      C201808121458A        69.5620      -145.3000         2.2000      2018-08-12      14:58:54      6.4637       Mw       -12.0218      -168.4004        1511       4646      P0009          P       296.2321       83.1670      202.7359        7.9312      1.25      2.00         10.0000        117.5405          1.0000      0.9196        11.95         0.0160       -1.69
10936816      C201808171535A        -7.4260       119.8340       529.0000      2018-08-17      15:35:01      6.5446       Mw       -12.2556      -171.8684        1521       4776      P0008          P       351.4528       67.3090      100.2259      266.9889      0.50      2.00         10.0000        666.1632          1.0000      0.8353         4.70         0.0078       -0.91
10936816      C201808171535A        -7.4260       119.8340       529.0000      2018-08-17      15:35:01      6.5446       Mw       -12.0025      -168.3766        1518       4128      P0009          P       337.7389       70.7320      100.1715      266.2356      0.40      2.00         10.0000         29.3598          1.0000      0.7957         4.10         0.0066       -0.78
10936816      C201808171535A        -7.4260       119.8340       529.0000      2018-08-17      15:35:01      6.5446       Mw       -14.0145      -165.7500        1500       5569      P0010          P       327.7385       73.1560      102.4567      266.3527      0.45      2.00         10.0000        140.6602          1.0000      0.8845         4.20         0.0066       -0.69
10936816      C201808171535A        -7.4260       119.8340       529.0000      2018-08-17      15:35:01      6.5446       Mw       -13.9049      -159.5707        1490       5118      P0011          P       303.3006       79.1430      102.8127      264.9459      0.45      2.00         10.0000        103.9021          1.0000      0.7583         4.90         0.0073       -0.70
10936816      C201808171535A        -7.4260       119.8340       529.0000      2018-08-17      15:35:01      6.5446       Mw       -15.0657      -155.0713        1513       4705      P0012          P       285.4774       83.3690      104.4029      264.0618      0.60      1.90         10.0000        995.9885          1.0000      0.7540         4.55         0.0066       -0.93
10937540      C201808190019A       -18.1130      -178.1540       600.0000      2018-08-19      00:19:40      8.2367       Mw       -12.2791      -171.8506        1514       4801      P0008          p       550.2505        8.4250       47.0670      225.4110      0.60      2.00         10.0000       1713.5152          1.0000      0.7622         0.35         0.0029       -0.87
10937540      C201808190019A       -18.1130      -178.1540       600.0000      2018-08-19      00:19:40      8.2367       Mw       -11.9945      -168.3892        1534       4172      P0009          p       573.8638       11.2350       58.3709      235.8254      0.40      2.00         10.0000        181.1728          1.0000      0.7339        -0.55        -0.0036       -0.85
10937540      C201808190019A       -18.1130      -178.1540       600.0000      2018-08-19      00:19:40      8.2367       Mw       -14.0004      -165.7534        1519       5575      P0010          p       577.2515       12.6010       72.7551      249.3106      0.55      2.00         10.0000        312.6311          1.0000      0.7072         0.30         0.0018       -0.63
10937540      C201808190019A       -18.1130      -178.1540       600.0000      2018-08-19      00:19:40      8.2367       Mw       -13.8999      -159.5712        1522       5111      P0011          P       520.6271       18.3410       79.4287      254.2592      0.40      2.00         10.0000        135.5683          1.0000      0.7184         3.90         0.0178       -0.76
10937540      C201808190019A       -18.1130      -178.1540       600.0000      2018-08-19      00:19:40      8.2367       Mw       -15.0829      -155.0933        1518       4732      P0012          P       509.2182       22.2910       85.6344      258.9619      0.55      2.00         10.0000         77.1826          1.0000      0.6166         0.95         0.0037       -0.72
10937747      C201808191456A        -8.3300       116.6310        25.2100      2018-08-19      14:56:27      6.9646       Mw       -12.2874      -171.8413        1517       4818      P0008          P       350.4995       70.2960      100.1383      265.4407      0.40      2.00         10.0000         14.7001          1.0000      0.7518         5.75         0.0086       -1.21
10937747      C201808191456A        -8.3300       116.6310        25.2100      2018-08-19      14:56:27      6.9646       Mw       -13.9968      -165.7484        1508       5582      P0010          P       326.0354       76.0620      102.4463      264.7227      0.40      2.00         10.0000          7.6908          1.0000      0.5640         5.30         0.0075       -0.89
10937747      C201808191456A        -8.3300       116.6310        25.2100      2018-08-19      14:56:27      6.9646       Mw       -13.8961      -159.5667        1525       5119      P0011          P       300.4928       82.0390      102.9800      263.3330      1.15      2.00         10.0000         14.4507          1.0000      0.3237         5.40         0.0073       -1.06
10937989      B201808200838A       -18.2470      -178.1740       527.8500      2018-08-20      08:38:00      5.6167       Mw       -11.9865      -168.4005        1502       4031      P0009          p       598.6277       11.3170       57.7917      235.2333      0.40      2.00         10.0000         63.6398          1.0000      0.8515         0.15         0.0010       -1.18
10937989      B201808200838A       -18.2470      -178.1740       527.8500      2018-08-20      08:38:00      5.6167       Mw       -13.9925      -165.7424        1530       5593      P0010          P       598.5753       12.6730       72.2008      248.7343      0.55      2.00         10.0000        349.3150          1.0000      0.9001         0.30         0.0018       -0.60
10938788      C201808212232A       -16.0250       168.1310        11.1400      2018-08-21      22:32:26      6.6046       Mw       -12.2923      -171.8189        1497       4843      P0008          P       625.0834       19.7860       81.7190      256.7644      1.15      1.80         10.0000         18.3616          1.0000      0.6436         5.15         0.0191       -1.06
10939040      C201808221849A        -6.9680       155.7280        34.0000      2018-08-22      18:49:36      5.8005       Mw       -15.1236      -155.1201        1518       4692      P0012          P       439.5258       48.8220      104.0225      273.9822      1.10      2.00         10.0000        105.8568          1.0000      0.4384         3.65         0.0070       -1.00
10939656      C201808240904A       -11.0420       -70.8170       609.4800      2018-08-24      09:04:08      7.1233       Mw       -13.9871      -165.7100        1519       5622      P0010          P       262.8831       92.0020      255.3310      101.9003      0.45      1.65         10.0000         72.6444          1.0000      0.8028        11.95         0.0140       -0.67
10939656      C201808240904A       -11.0420       -70.8170       609.4800      2018-08-24      09:04:08      7.1233       Mw       -13.8667      -159.5318        1495       5202      P0011          P       271.4523       86.1430      256.6098      100.4327      0.55      2.00         10.0000         18.4909          1.0000      0.6378         3.60         0.0052       -0.83
10939656      C201808240904A       -11.0420       -70.8170       609.4800      2018-08-24      09:04:08      7.1233       Mw       -15.1386      -155.1377        1474       4694      P0012          P       290.6101       81.7340      256.0826       99.2760      0.55      1.65         10.0000         34.6256          1.0000      0.6301        10.05         0.0149       -0.80
10940375      C201808260726A       -20.8820      -173.8620        10.0000      2018-08-26      07:26:06      5.4332       Mw       -13.9842      -165.6844        1531       5621      P0010          P       784.6107       10.4090       49.8145      227.3563      0.45      2.00         10.0000          4.1039          1.0000      0.7320         0.75         0.0050       -3.14
10941184      B201808281309A       -18.0300      -177.9390       600.6200      2018-08-28      13:09:11      5.7146       Mw       -13.9769      -165.6438        1537       5699      P0010          p       576.6664       12.4900       72.8442      249.4403      0.55      2.00         10.0000         53.0321          1.0000      0.9333         2.35         0.0144       -0.81
10944513      C201809051807A        42.6860       141.9290        35.0000      2018-09-05      18:07:59      6.6904       Mw       -12.2162      -171.7251      -12345       4810      P0008          P       354.1927       69.3610      130.9193      325.3669      0.40      1.20         10.0000          7.8221          1.0000      0.6679       -14.99        -0.0226       -0.63
10944513      C201809051807A        42.6860       141.9290        35.0000      2018-09-05      18:07:59      6.6904       Mw       -11.8983      -168.4337      -12345       4493      P0009          P       347.5125       70.9710      127.9369      323.6669      0.45      2.00         10.0000          7.6375          1.0000      0.7033        -0.85        -0.0013       -0.59
10944513      C201809051807A        42.6860       141.9290        35.0000      2018-09-05      18:07:59      6.6904       Mw       -13.8684      -159.4417      -12345       5110      P0011          P       318.2359       77.9360      122.0433      320.0740      0.60      2.00         10.0000          4.4016          1.0000      0.5943        -4.50        -0.0063       -0.56
10944513      C201809051807A        42.6860       141.9290        35.0000      2018-09-05      18:07:59      6.6904       Mw       -15.2387      -155.1586      -12345       4659      P0012          P       302.0629       81.6770      119.7556      318.5920      0.85      1.75         10.0000         20.9139          1.0000      0.5566         9.70         0.0132       -0.58
10944513      C201809051807A        42.6860       141.9290        35.0000      2018-09-05      18:07:59      6.6904       Mw        -9.0488      -138.3663        1536       4037      P0016          P       270.7774       88.6760      103.6113      313.6609      0.40      2.00         10.0000          5.5079          1.0000      0.4728         7.20         0.0094       -0.55
10945784      C201809080716A         7.2370       126.4780        10.0000      2018-09-08      07:16:49      6.1748       Mw       -12.2052      -171.7325        1502       4799      P0008          P       375.0143       64.4230      107.2798      284.2654      0.40      2.00         10.0000         19.4894          1.0000      0.8008         6.10         0.0096       -1.82
10945784      C201809080716A         7.2370       126.4780        10.0000      2018-09-08      07:16:49      6.1748       Mw       -11.9104      -168.4335        1504       4428      P0009          P       362.2880       67.4880      106.1306      283.1076      0.60      2.00         10.0000         18.0896          1.0000      0.8902         3.65         0.0056       -1.77
10945784      C201809080716A         7.2370       126.4780        10.0000      2018-09-08      07:16:49      6.1748       Mw       -13.9526      -165.4785        1530       5343      P0010          P       348.7686       70.7550      107.5642      282.9572      0.45      2.00         10.0000         18.9767          1.0000      0.8464         2.50         0.0037       -1.39
10945784      C201809080716A         7.2370       126.4780        10.0000      2018-09-08      07:16:49      6.1748       Mw       -15.2443      -155.1486        1519       4630      P0012          P       306.3357       80.8060      106.8010      280.1587      0.60      2.00         10.0000         19.8545          1.0000      0.9372         3.30         0.0045       -1.65
10945822      C201809081002A       -22.2270       170.2030         9.0000      2018-09-08      10:02:48      5.8998       Mw       -11.9110      -168.4333        1523       4416      P0009          P       606.1826       22.8390       66.6816      240.3180      0.80      2.00         10.0000        147.3723          1.0000      0.1983         1.65         0.0054       -2.14
10945989      C201809082227A       -24.2930      -175.7800        10.0000      2018-09-08      22:27:29      5.5661       Mw       -11.9138      -168.4326        1536       4382      P0009          P       781.4415       14.2040       30.6604      208.3611      0.45      2.00         10.0000          4.9991          1.0000      0.5066        -4.35        -0.0216       -3.29
10945989      C201809082227A       -24.2930      -175.7800        10.0000      2018-09-08      22:27:29      5.5661       Mw       -15.2441      -155.1432        1514       4579      P0012          P       616.4224       21.3890       68.8125      241.7431      0.45      2.00         10.0000        139.8442          1.0000      0.8819         1.95         0.0068       -1.63
10946252      C201809091931A       -10.0210       161.5020        68.0000      2018-09-09      19:31:35      6.5534       Mw       -12.2034      -171.7320        1486       4796      P0008          P       516.3795       26.3430       97.2893      272.0375      0.45      2.00         10.0000         14.4299          1.0000      0.8492         4.45         0.0135       -0.89
10946252      C201809091931A       -10.0210       161.5020        68.0000      2018-09-09      19:31:35      6.5534       Mw       -13.9429      -165.4531      -12345       5340      P0010          P       501.1370       32.5350      100.2514      273.1993      0.40      2.00         10.0000         15.4118          1.0000      0.6702         5.30         0.0138       -0.32
10946252      C201809091931A       -10.0210       161.5020        68.0000      2018-09-09      19:31:35      6.5534       Mw       -13.8970      -159.3888        1506       5050      P0011          P       480.6669       38.4140       99.7704      271.3469      0.55      2.00         10.0000         18.1536          1.0000      0.7804         4.55         0.0105       -0.45
10946252      C201809091931A       -10.0210       161.5020        68.0000      2018-09-09      19:31:35      6.5534       Mw        -9.1312      -138.3180      -12345       4026      P0016          P       395.3157       59.2620       94.7276      263.7152      0.45      2.00         10.0000          4.9748          1.0000      0.6025         0.75         0.0013       -0.93
10946252      C201809091931A       -10.0210       161.5020        68.0000      2018-09-09      19:31:35      6.5534       Mw       -10.0699      -135.0680      -12345       4289      P0017          P       382.4515       62.3470       96.1925      263.8878      0.70      2.00         10.0000          5.6525          1.0000      0.7485         7.80         0.0127       -0.72
10946252      C201809091931A       -10.0210       161.5020        68.0000      2018-09-09      19:31:35      6.5534       Mw       -12.2034      -132.1093      -12345       4068      P0018          P       371.5210       65.0200       98.8870      264.5112      0.65      1.85         10.0000          7.4428          1.0000      0.6430         5.40         0.0085       -0.90
10946332      C201809100418A       -31.7450      -179.3730       115.0000      2018-09-10      04:19:02      6.9833       Mw       -12.2033      -171.7308        1490       4795      P0008          P       613.2227       20.7690       21.5032      198.5978      0.50      2.00         10.0000       2285.9891          1.0000      0.7217         1.90         0.0070       -1.06
10946332      C201809100418A       -31.7450      -179.3730       115.0000      2018-09-10      04:19:02      6.9833       Mw       -11.9247      -168.4356        1542       4447      P0009          P       602.9386       22.2340       29.3808      205.2404      0.40      2.00         10.0000         39.7232          1.0000      0.8547         6.40         0.0223       -0.94
10946332      C201809100418A       -31.7450      -179.3730       115.0000      2018-09-10      04:19:02      6.9833       Mw       -13.9410      -165.4444        1529       5352      P0010          P       605.4518       21.8990       38.7827      213.2867      0.50      2.00         10.0000        470.4038          1.0000      0.7318         3.45         0.0122       -0.77
10946332      C201809100418A       -31.7450      -179.3730       115.0000      2018-09-10      04:19:02      6.9833       Mw       -15.2425      -155.1322        1510       4402      P0012          P       510.8588       27.5680       58.8641      228.9758      0.80      2.00         10.0000        231.7993          1.0000      0.3085         4.50         0.0134       -0.96
10946332      C201809100418A       -31.7450      -179.3730       115.0000      2018-09-10      04:19:02      6.9833       Mw       -11.4875      -143.9280        1514       4771      P0013          P       479.4521       38.3990       66.1973      232.5579      0.55      2.00         10.0000         11.2179          1.0000      0.7935         1.95         0.0045       -0.82
10946332      C201809100418A       -31.7450      -179.3730       115.0000      2018-09-10      04:19:02      6.9833       Mw        -9.1383      -138.3121        1518       4014      P0016          P       456.5161       44.2230       68.4113      233.2168      0.85      2.00         10.0000         97.4376          1.0000      0.6620         3.30         0.0069       -1.00
10946332      C201809100418A       -31.7450      -179.3730       115.0000      2018-09-10      04:19:02      6.9833       Mw       -10.0742      -135.0726        1528       4324      P0017          P       448.0586       46.2690       72.1086      235.2801      0.65      2.00         10.0000         81.4193          1.0000      0.6791         6.25         0.0127       -1.04
10946332      C201809100418A       -31.7450      -179.3730       115.0000      2018-09-10      04:19:02      6.9833       Mw       -12.1985      -132.1026      -12345       4074      P0018          P       442.9453       47.5320       76.7352      237.8685      0.75      2.00         10.0000         21.4987          1.0000      0.6969         2.25         0.0045       -0.91
10946332      C201809100418A       -31.7450      -179.3730       115.0000      2018-09-10      04:19:02      6.9833       Mw       -15.4506      -130.7593        1505       3989      P0019          P       445.0698       46.9940       81.4498      240.7479      0.55      2.00         10.0000         21.5792          1.0000      0.7793         2.40         0.0048       -1.05
10946332      C201809100418A       -31.7450      -179.3730       115.0000      2018-09-10      04:19:02      6.9833       Mw       -20.3080      -130.6123        1499       3693      P0020          P       453.6113       44.8990       87.5535      244.9495      0.70      2.00         10.0000         68.8525          1.0000      0.5324         2.40         0.0050       -1.24
10946601      C201809101931A       -21.9880       170.1580        12.0000      2018-09-10      19:31:37      6.3120       Mw       -12.2032      -171.7286        1515       4793      P0008          P       624.7196       19.8570       63.4538      238.0686      0.40      2.00         10.0000         12.6429          1.0000      0.8674         1.80         0.0067       -1.72
10948476      B201809161310A       -18.0750      -177.9490       537.6800      2018-09-16      13:10:48      5.4291       Mw       -12.1873      -171.7344        1512       4783      P0008          p       578.8363        8.4030       46.3909      224.7651      0.45      2.00         10.0000         18.6763          1.0000      0.8146         5.60         0.0461       -0.97
10948476      B201809161310A       -18.0750      -177.9490       537.6800      2018-09-16      13:10:48      5.4291       Mw       -13.9152      -165.3217        1516       5335      P0010          P       595.0429       12.8270       72.9063      249.4114      0.50      2.00         10.0000         20.2245          1.0000      0.5863         5.35         0.0320       -0.70
10948555      C201809162111A       -25.4210       178.2060       576.0000      2018-09-16      21:11:48      6.5119       Mw       -11.9521      -168.4125        1500       3470      P0009          P       521.4474       18.4670       45.6269      221.2921      0.40      2.00         10.0000         27.6768          1.0000      0.6224         3.10         0.0140       -1.19
10948555      C201809162111A       -25.4210       178.2060       576.0000      2018-09-16      21:11:48      6.5119       Mw       -13.9470      -159.3519        1481       5074      P0011          P       506.7011       23.9880       65.6888      238.0045      0.75      2.00         10.0000         11.6545          1.0000      0.5868         7.10         0.0263       -0.66
10948555      C201809162111A       -25.4210       178.2060       576.0000      2018-09-16      21:11:48      6.5119       Mw       -15.2265      -155.0676        1524       4400      P0012          P       501.3943       26.9870       72.9916      243.5209      0.40      2.00         10.0000         30.5456          1.0000      0.7800         5.30         0.0179       -0.64
10948555      C201809162111A       -25.4210       178.2060       576.0000      2018-09-16      21:11:48      6.5119       Mw       -11.5456      -143.9628        1499       4753      P0013          P       463.2283       38.2950       75.8577      243.3664      0.65      1.65         10.0000         50.0847          1.0000      0.7715         6.25         0.0159       -0.99
10948555      C201809162111A       -25.4210       178.2060       576.0000      2018-09-16      21:11:48      6.5119       Mw        -9.2594      -138.1526        1518       4008      P0016          P       439.8075       44.4260       76.6794      242.9339      0.95      2.00         10.0000        102.6856          1.0000      0.8753         6.75         0.0153       -0.97
10948555      C201809162111A       -25.4210       178.2060       576.0000      2018-09-16      21:11:48      6.5119       Mw       -10.1206      -135.2052        1505       4336      P0017          P       431.2128       46.6490       79.5648      244.4593      1.15      1.95         10.0000        106.5942          1.0000      0.7422         6.20         0.0136       -0.87
10948555      C201809162111A       -25.4210       178.2060       576.0000      2018-09-16      21:11:48      6.5119       Mw       -12.1448      -131.9941        1511       4040      P0018          P       423.2941       48.6830       83.8196      246.7057      0.45      2.00         10.0000         79.3974          1.0000      0.7578         7.00         0.0148       -1.03
10948555      C201809162111A       -25.4210       178.2060       576.0000      2018-09-16      21:11:48      6.5119       Mw       -15.4724      -130.7533        1515       4002      P0019          P       423.7736       48.5610       88.5337      249.5265      0.40      2.00         10.0000         74.3093          1.0000      0.7900         6.90         0.0146       -0.77
10948555      C201809162111A       -25.4210       178.2060       576.0000      2018-09-16      21:11:48      6.5119       Mw       -20.3043      -130.3845        1510       3671      P0020          P       428.4384       47.3660       94.8570      253.6498      0.45      2.00         10.0000         50.9016          1.0000      0.7747         7.30         0.0158       -1.06
10948555      C201809162111A       -25.4210       178.2060       576.0000      2018-09-16      21:11:48      6.5119       Mw       -23.5243      -133.4334        1510       4039      P0021          P       442.1729       43.8160       98.2190      257.1425      0.45      2.00         10.0000         36.1156          1.0000      0.6189         6.50         0.0149       -0.96
10948555      C201809162111A       -25.4210       178.2060       576.0000      2018-09-16      21:11:48      6.5119       Mw       -24.1541      -136.5961        1522       4082      P0022          P       453.5382       40.8550       98.2238      258.4247      0.55      2.00         10.0000         37.9288          1.0000      0.7333         1.90         0.0046       -0.95
10948555      C201809162111A       -25.4210       178.2060       576.0000      2018-09-16      21:11:48      6.5119       Mw       -24.2434      -145.5114        1509       4517      P0024          P       482.7661       32.8480       95.8558      260.1856      0.40      2.00         10.0000         59.7015          1.0000      0.7642         6.15         0.0177       -0.91
10948555      C201809162111A       -25.4210       178.2060       576.0000      2018-09-16      21:11:48      6.5119       Mw       -21.9977      -148.5025        1533       4844      P0025          P       490.2975       30.5950       90.6312      256.9147      0.50      2.00         10.0000        103.3526          1.0000      0.6641         5.55         0.0169       -0.87
10950337      C201809210340A       -17.9070      -179.9780       652.3500      2018-09-21      03:40:40      5.9192       Mw       -12.1864      -171.7620        1531       4839      P0008          p       544.4778        9.7780       55.3362      233.1972      0.40      2.00         10.0000        767.4295          1.0000      0.9238        -1.35        -0.0098       -0.80
10950337      C201809210340A       -17.9070      -179.9780       652.3500      2018-09-21      03:40:40      5.9192       Mw       -11.9454      -168.4326        1531       4037      P0009          P       527.6760       12.6420       63.4653      240.4780      0.45      2.00         10.0000        935.1917          1.0000      0.8445        -1.30        -0.0079       -0.67
10950337      C201809210340A       -17.9070      -179.9780       652.3500      2018-09-21      03:40:40      5.9192       Mw       -13.8940      -165.2343        1505       5457      P0010          P       525.1172       14.7300       76.3150      252.2525      0.55      2.00         10.0000        101.4121          1.0000      0.6925        -1.55        -0.0084       -0.35
10950337      C201809210340A       -17.9070      -179.9780       652.3500      2018-09-21      03:40:40      5.9192       Mw       -11.5774      -143.9891        1529       4854      P0013          P       470.1531       35.3160       84.7640      255.2995      0.55      2.00         10.0000         40.0298          1.0000      0.8576         1.05         0.0029       -0.88
10950991      C201809230552A        12.2220       146.2380        32.0000      2018-09-23      05:52:15      5.9214       Mw       -12.1790      -171.7771        1525       4865      P0008          P       441.8851       48.2820      118.8358      298.8526      0.45      2.00         10.0000         58.8779          1.0000      0.8874         0.50         0.0010       -1.14
10950991      C201809230552A        12.2220       146.2380        32.0000      2018-09-23      05:52:15      5.9214       Mw       -11.6024      -143.9932        1537       4819      P0013          P       338.1277       73.2320      106.2712      286.7127      0.40      2.00         10.0000         94.7952          1.0000      0.8389         0.70         0.0010       -0.84
10951286      C201809240751A       -15.7490      -175.3440        10.0000      2018-09-24      07:51:04      5.2957       Mw       -11.9467      -168.4551        1494       4591      P0009          P       786.2609        7.6920       61.2430      239.5914      0.55      1.05         10.0000         12.9095          1.0000      0.6638        -3.80        -0.0339       -3.46
10952079      C201809260037A       -18.0180      -178.1050       568.6700      2018-09-26      00:37:33      5.8165       Mw       -12.1914      -171.8000        1530       4847      P0008          p       564.6844        8.4240       47.1178      225.4712      0.50      2.00         10.0000        674.6316          1.0000      0.9015         0.55         0.0045       -0.96
10952079      C201809260037A       -18.0180      -178.1050       568.6700      2018-09-26      00:37:33      5.8165       Mw       -11.9476      -168.4655        1524       4890      P0009          p       583.7011       11.1110       58.2244      235.7233      0.45      2.00         10.0000         28.2739          1.0000      0.7010         0.05         0.0003       -0.66
10952079      C201809260037A       -18.0180      -178.1050       568.6700      2018-09-26      00:37:33      5.8165       Mw       -13.9387      -165.1350        1530       5483      P0010          P       586.1719       13.1140       73.7535      250.1668      0.40      2.00         10.0000        108.0472          1.0000      0.6152         0.45         0.0027       -0.51
10952426      B201809262153A       -17.8130      -178.1540       498.9700      2018-09-26      21:53:15      5.3385       Mw       -12.1990      -171.8021        1537       4846      P0008          p       596.1436        8.3140       48.4053      226.7571      0.50      2.00         10.0000         61.9743          1.0000      0.3807         0.95         0.0080       -0.96
10952928      B201809272225A       -18.1750      -178.2340       536.2500      2018-09-27      22:25:43      5.3934       Mw       -12.2078      -171.8046        1533       4844      P0008          p       581.7466        8.6060       47.0053      225.3166      0.50      2.00         10.0000         18.4854          1.0000      0.3859         1.20         0.0097       -0.96
10953070      C201809281002A        -0.1780       119.8400        10.0000      2018-09-28      10:02:45      7.6027       Mw       -11.9317      -168.4860        1510       5092      P0009          P       343.3513       72.0450      102.4932      273.7348      1.45      2.00         10.0000          6.8805          1.0000      0.7164         7.60         0.0111       -1.49
10953070      C201809281002A        -0.1780       119.8400        10.0000      2018-09-28      10:02:45      7.6027       Mw       -13.9699      -165.1105        1518       5538      P0010          P       328.8663       75.4570      104.3945      273.5102      0.45      1.15         10.0000         17.7084          1.0000      0.7151        15.30         0.0217       -1.10
10953070      C201809281002A        -0.1780       119.8400        10.0000      2018-09-28      10:02:45      7.6027       Mw       -13.9931      -159.2859      -12345       5115      P0011          P       305.1056       81.1030      104.1383      272.0497      0.90      2.00         10.0000          6.2785          1.0000      0.6777         3.85         0.0052       -1.32
10953070      C201809281002A        -0.1780       119.8400        10.0000      2018-09-28      10:02:45      7.6027       Mw       -15.2118      -154.8880        1518       4640      P0012          P       286.0447       85.3910      105.2476      271.0709      0.45      1.05         10.0000         10.1193          1.0000      0.5679         7.55         0.0100       -1.32
10953070      C201809281002A        -0.1780       119.8400        10.0000      2018-09-28      10:02:45      7.6027       Mw       -24.3005      -145.4704      -12345       4607      P0024          P       263.0341       94.2000      114.3846      267.9040      0.70      1.55         10.0000         23.8453          1.0000      0.9154         5.95         0.0074       -1.36
10953070      C201809281002A        -0.1780       119.8400        10.0000      2018-09-28      10:02:45      7.6027       Mw       -21.8395      -148.4556        1526       4901      P0025          P       265.4709       91.5160      111.8527      269.2005      0.40      2.00         10.0000         11.3263          1.0000      0.7820        13.20         0.0168       -1.07
10953779      C201809301052A       -18.3460      -178.0790       564.1300      2018-09-30      10:52:23      6.7035       Mw       -12.2273      -171.8202        1521       4819      P0008          p       568.8951        8.5930       45.4858      223.8318      0.55      2.00         10.0000       9982.1218          1.0000      0.6346        -0.05        -0.0004       -1.00
10953779      C201809301052A       -18.3460      -178.0790       564.1300      2018-09-30      10:52:23      6.7035       Mw       -11.9230      -168.5080        1516       5393      P0009          p       585.8572       11.2470       56.5235      234.0153      0.40      2.00         10.0000        458.7597          1.0000      0.8753         1.40         0.0093       -0.64
10953779      C201809301052A       -18.3460      -178.0790       564.1300      2018-09-30      10:52:23      6.7035       Mw       -13.9683      -165.0807        1523       5613      P0010          P       587.7846       13.2250       72.5754      248.9413      0.50      2.00         10.0000        207.8042          1.0000      0.8239        -2.05        -0.0120       -0.12
10953779      C201809301052A       -18.3460      -178.0790       564.1300      2018-09-30      10:52:23      6.7035       Mw       -14.0032      -159.2695        1512       5120      P0011          P       521.7076       18.5680       79.2466      253.9593      0.55      2.00         10.0000         18.6836          1.0000      0.8143         2.20         0.0099       -0.89
10953779      C201809301052A       -18.3460      -178.0790       564.1300      2018-09-30      10:52:23      6.7035       Mw        -9.3443      -137.7532        1526       4192      P0016          P       457.1302       40.0810       82.6237      252.5496      0.40      2.00         10.0000         53.9954          1.0000      0.4101         1.00         0.0025       -0.84
10953779      C201809301052A       -18.3460      -178.0790       564.1300      2018-09-30      10:52:23      6.7035       Mw       -10.2408      -135.5610        1503       4187      P0017          P       450.2052       41.8910       84.8833      253.8827      0.85      2.00         10.0000         26.6293          1.0000      0.4659         1.70         0.0040       -0.75
10953779      C201809301052A       -18.3460      -178.0790       564.1300      2018-09-30      10:52:23      6.7035       Mw       -12.2287      -131.7598        1508       4043      P0018          P       438.1631       44.9820       89.0758      256.1878      0.45      2.00         10.0000         30.7354          1.0000      0.6665         1.50         0.0034       -1.09
10953779      C201809301052A       -18.3460      -178.0790       564.1300      2018-09-30      10:52:23      6.7035       Mw       -15.3623      -130.6263        1514       3977      P0019          P       436.6526       45.3890       93.7230      259.1937      0.55      2.00         10.0000         76.1961          1.0000      0.5088         1.35         0.0030       -0.80
